log_id,text,region,language,clean_text
LOG_0170,The application keeps crashing on my mobile device. I tried restarting but it didn't help. My email is user170@example.com and my phone is 555-0199.,North,French,log 0170
LOG_0171,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user171@example.com and my phone is 555-0199.,West,French,log 0171
LOG_0172,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0172
LOG_0173,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0173
LOG_0174,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,Spanish,log 0174
LOG_0175,I HAVE A QUESTION ABOUT MY INVOICE 4232. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,English,log 0175
LOG_0176,I HAVE A QUESTION ABOUT MY INVOICE 9095. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,English,log 0176
LOG_0177,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example) My email is user177@example.com and my phone is 555-0199.,West,Hindi,log 0177
LOG_0178,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0178
LOG_0179,I have a question about my invoice 2479. My credit card was charged twice.,East,Hindi,log 0179
LOG_0180,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,French,log 0180
LOG_0181,I am not satisfied with the service. Please refund my last payment immediately.,West,English,log 0181
LOG_0182,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,French,log 0182
LOG_0183,I have a question about my invoice 2548. My credit card was charged twice.,North,Hindi,log 0183
LOG_0184,I HAVE A QUESTION ABOUT MY INVOICE 3317. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0184
LOG_0185,I have a question about my invoice 2388. My credit card was charged twice.,East,French,log 0185
LOG_0186,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,log 0186
LOG_0187,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Spanish,log 0187
LOG_0188,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,log 0188
LOG_0189,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Hindi,log 0189
LOG_0190,I HAVE A QUESTION ABOUT MY INVOICE 6968. MY CREDIT CARD WAS CHARGED TWICE. !!! URGENT HELP NEEDED !!!,South,French,log 0190
LOG_0191,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,French,log 0191
LOG_0192,I am not satisfied with the service. Please refund my last payment immediately.,West,Spanish,log 0192
LOG_0193,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0193
LOG_0194,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Hindi,log 0194
LOG_0195,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,log 0195
LOG_0196,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,Hindi,log 0196
LOG_0197,I have a question about my invoice 2623. My credit card was charged twice.,East,Spanish,log 0197
LOG_0198,I AM NOT SATISFIED WITH THE SERVICE. PLEASE REFUND MY LAST PAYMENT IMMEDIATELY. !!! URGENT HELP NEEDED !!!,South,English,log 0198
LOG_0199,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,log 0199
LOG_0200,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,English,log 0200
LOG_0201,I have a question about my invoice 9189. My credit card was charged twice.,West,English,log 0201
LOG_0202,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0202
LOG_0203,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,log 0203
LOG_0204,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,North,French,log 0204
LOG_0205,I am not satisfied with the service. Please refund my last payment immediately.,East,English,log 0205
LOG_0206,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,Hindi,log 0206
LOG_0207,I HAVE A QUESTION ABOUT MY INVOICE 8498. MY CREDIT CARD WAS CHARGED TWICE. MY EMAIL IS USER207@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0207
LOG_0208,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,English,log 0208
LOG_0209,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),West,French,log 0209
LOG_0210,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,English,log 0210
LOG_0211,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,log 0211
LOG_0212,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,East,English,log 0212
LOG_0213,I have a question about my invoice 5843. My credit card was charged twice.,East,English,log 0213
LOG_0214,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,French,log 0214
LOG_0215,I am not satisfied with the service. Please refund my last payment immediately.,East,French,log 0215
LOG_0216,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),North,Spanish,log 0216
LOG_0217,I am not satisfied with the service. Please refund my last payment immediately.,East,Hindi,log 0217
LOG_0218,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,Hindi,log 0218
LOG_0219,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) !!! URGENT HELP NEEDED !!!,South,French,log 0219
LOG_0220,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,Spanish,log 0220
LOG_0221,I FORGOT MY PASSWORD AND THE RECOVERY EMAIL IS NOT ARRIVING. PIN CODE: 1234 (PII EXAMPLE) MY EMAIL IS USER221@EXAMPLE.COM AND MY PHONE IS 555-0199. !!! URGENT HELP NEEDED !!!,South,English,log 0221
LOG_0222,I forgot my password and the recovery email is not arriving. Pin code: 1234 (PII Example),East,Hindi,log 0222
LOG_0223,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Hindi,log 0223
LOG_0224,THE APPLICATION KEEPS CRASHING ON MY MOBILE DEVICE. I TRIED RESTARTING BUT IT DIDN'T HELP. !!! URGENT HELP NEEDED !!!,South,Spanish,log 0224
LOG_0225,I am not satisfied with the service. Please refund my last payment immediately.,East,French,log 0225
LOG_0226,The application keeps crashing on my mobile device. I tried restarting but it didn't help.,West,French,log 0226
LOG_0227,I have a question about my invoice 3981. My credit card was charged twice.,West,Hindi,log 0227
